,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO,score,USG_
71,Rodney Hood,SG/SF,TBA,68,25,-0.873974553,0.756485681,0.734215417,-0.167968672,-1.03673497,-0.66848944,-0.430520424,-0.900853636,0.807997783,1.031720345,27.5
72,Goran Dragic,PG/SG,MIA,74,32,-0.147931311,0.030259427,0.503330066,0.521638779,-0.673817244,0.859486423,-0.13864217,-0.900853636,-0.760929951,1.015142575,23
73,Wesley Matthews,SG/SF,DAL,70,28.5,-1.236996175,0.635447972,0.734215417,-0.739357703,-0.996410778,-0.362894268,-0.13864217,-0.900853636,0.807997783,0.936767031,17
74,Kent Bazemore,SG/SF,ATL,67,27,-1.055485364,0.030259427,0.272444715,-0.364999373,-0.633493053,0.14643102,1.028870844,-0.062850254,-0.23795404,0.875052594,16.6
75,Dennis Schroder,PG,OKC,72,25,-0.510952932,0.87752339,-0.189325988,0.364014219,-1.198031737,1.114149067,-0.430520424,-1.110354482,-0.891673928,0.844166336,29.9
76,Marc Gasol,C,MEM,75,33,-0.329442121,0.635447972,0.272444715,0.501935709,0.818177851,0.706688837,-0.430520424,1.613156511,-0.891673928,0.794322881,25
77,Jabari Parker,SF/PF,CHI,62,32,0.396601121,-0.090778282,-0.073883312,0.73837255,0.293963358,-0.159164152,0.445114337,-0.272351099,-0.107210062,0.752451078,22.5
78,Jeremy Lamb,SG/SF,CHA,74,26,-0.147931311,0.756485681,0.041559363,-0.049750252,-0.310899518,-0.413826796,-0.430520424,-0.272351099,0.807997783,0.711945355,20.7
79,Bogdan Bogdanovic,SG/SF,SAC,62,27,-0.510952932,0.87752339,0.38788739,-0.463514723,-1.03673497,0.044565963,-0.430520424,-0.900853636,0.285021872,0.700963468,NA
80,Marcus Smart,PG/SG,BOS,70,27,-1.781528607,0.030259427,0.041559363,-0.739357703,-0.79478982,0.401093664,1.028870844,-0.481851945,-0.107210062,0.655215533,19.4
81,Fred VanVleet,PG,TOR,75,20,-1.055485364,0.635447972,0.157002039,-0.995497614,-1.157707545,0.197363549,-0.430520424,-0.900853636,1.069485738,0.63328126,17.3
82,Danilo Gallinari,SF/PF,LAC,58,27,-0.873974553,1.361674226,0.272444715,-0.148265602,-0.512520477,-0.66848944,-1.306155184,-0.691352791,1.069485738,0.580694452,27.1
83,Trae Young,PG,ATL,72,28,-1.418506985,0.272334845,0.272444715,-0.227077882,-1.077059162,1.368811711,0.153236083,-0.900853636,-1.283905862,0.55584361,27.5
