,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO,score,USG_
177,DeAndre Ayton,C,PHO,72,29.5,0.759622743,-0.695966827,-1.343752745,-0.305890162,1.302068152,-0.770354498,-0.722398677,0.984653974,0.154277894,-3.684085016,NA
178,Domantas Sabonis,PF/C,IND,75,25,0.759622743,-0.3328537,-1.343752745,-0.266484022,1.060123001,-0.515691854,-1.014276931,-0.272351099,-0.23795404,-3.711013292,31.1
179,Cody Zeller,PF/C,CHA,62,25,1.485665985,-0.817004536,-1.574638097,-0.877279194,0.414935933,-0.821287027,-0.430520424,0.565652283,0.807997783,-3.712731494,21
180,Wendell Carter Jr.,C,CHI,72,26,0.215090311,-0.695966827,-1.112867394,-0.798466914,0.737529467,-0.566624383,-0.722398677,1.19415482,0.154277894,-3.7420463,16
181,Jordan Bell,PF/C,GSW,70,20,2.57473085,-0.817004536,-1.574638097,-1.448668225,-0.028630176,-0.210096681,-0.430520424,1.403655666,0.546509827,-3.934418135,15.6
182,Nerlens Noel,PF/C,OKC,62,18,1.304155175,-0.938042245,-1.574638097,-1.330449805,0.052018207,-1.07594967,0.153236083,0.356151438,0.807997783,-3.957845951,13.3
183,Steven Adams,C,OKC,76,33,2.393220039,-2.269457043,-1.574638097,0.088171238,1.423040727,-0.872219555,0.445114337,0.775153129,-0.107210062,-4.290239182,18.6
184,Bam Adebayo,PF/C,MIA,72,22,1.122644364,-0.453891409,-1.574638097,-1.015200684,0.33428755,-0.66848944,-1.306155184,-0.062850254,0.677253805,-4.341121009,21.5
185,Rudy Gobert,C,UTA,70,33,2.75624166,-1.059079953,-1.574638097,-0.010344112,2.713414864,-0.821287027,-0.722398677,3.498664122,-0.23795404,-4.425701905,19.3
186,Kyle O'Quinn,PF/C,IND,76,15,1.667176796,0.030259427,-1.574638097,-1.606292786,-0.10927856,-0.719421969,-1.598033438,0.984653974,0.93874176,-4.529385101,NA
187,Jusuf Nurkic,C,POR,73,27.5,0.578111932,-1.664268498,-1.574638097,0.285201939,1.624661686,-0.413826796,-0.13864217,1.613156511,-1.153161884,-4.659335507,25.4
188,Montrezl Harrell,PF/C,LAC,70,21,2.937752471,-1.664268498,-1.574638097,-0.266484022,-0.391547902,-0.872219555,-1.306155184,0.565652283,0.93874176,-4.745023597,21.4
189,Marvin Bagley III,PF,SAC,72,27,0.759622743,-1.42219308,-1.112867394,-0.581733143,0.656881084,-0.923152084,-1.014276931,-0.272351099,0.285021872,-4.769200761,22.3
190,Mohamed Bamba,C,ORL,72,23,0.0335795,-1.059079953,-1.22831007,-1.113716034,0.616556892,-1.279679786,-1.014276931,2.241659048,0.807997783,-4.887064991,21.5
191,Hassan Whiteside,C,MIA,69,25,1.485665985,-1.180117662,-1.574638097,-0.128562532,2.148876179,-1.177814728,-1.014276931,2.451159894,0.023533916,-5.051876034,19.8
192,Alex Len,PF/C,ATL,72,21,0.941133553,-0.817004536,-1.574638097,-1.034903754,0.858502043,-0.974084613,-1.306155184,0.775153129,0.546509827,-5.160276356,22.5
193,Clint Capela,PF/C,HOU,73,28,3.300774092,-2.63257017,-1.574638097,0.166983519,2.229524562,-1.025017142,-0.430520424,2.241659048,0.154277894,-5.34148442,20.5
194,Marcin Gortat,C,LAC,79,24,1.122644364,-1.42219308,-1.574638097,-1.153122174,0.858502043,-0.719421969,-1.306155184,0.146650592,0.807997783,-5.367532722,18.2
195,Robin Lopez,C,CHI,74,22,0.941133553,-0.574929118,-1.574638097,-1.074309894,-0.189926943,-0.923152084,-2.181789945,0.984653974,0.807997783,-5.520821355,10.8
196,Kevon Looney,PF/C,GSW,70,20,1.667176796,-2.269457043,-1.459195421,-1.409262085,-0.230251135,-1.025017142,-0.722398677,1.19415482,1.200229716,-5.685100652,13.5
197,JaVale McGee,C,LAL,68,18,2.57473085,-2.027381625,-1.574638097,-0.877279194,-0.028630176,-1.177814728,-1.306155184,1.613156511,1.069485738,-5.89378309,19.9
198,DeAndre Jordan,C,DAL,79,32,3.663795714,-2.390494752,-1.574638097,-0.601436213,3.439250315,-0.872219555,-1.014276931,1.403655666,0.285021872,-6.168043677,22.1
199,Jakob Poeltl,C,SAS,78,20,2.75624166,-1.785306207,-1.574638097,-1.291043665,-0.068954368,-1.177814728,-1.306155184,0.775153129,0.807997783,-6.326960098,11.9
200,Dwight Howard,PF/C,WAS,77,29.5,2.030198417,-2.753607879,-1.574638097,0.029062028,2.592442288,-0.872219555,-0.722398677,2.032158203,-0.760929951,-6.654732131,NA
