,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO
125,Dwight Howard,PF/C,WAS,77,29.5,2.030198417,-2.753607879,-1.574638097,0.029062028,2.592442288,-0.872219555,-0.722398677,2.032158203,-0.760929951
126,Bobby Portis,PF/C,CHI,72,23,0.0335795,-0.3328537,-0.304768664,-0.187671742,0.656881084,-0.770354498,-0.722398677,-0.481851945,0.677253805
127,Kyle Kuzma,SF/PF,LAL,77,28,-0.329442121,-0.574929118,0.734215417,0.166983519,0.092342399,-0.66848944,-1.014276931,-0.481851945,0.154277894
128,Derrick White,PG,SAS,72,26,0.759622743,-0.574929118,-0.304768664,-0.680248493,-0.189926943,-0.66848944,-0.430520424,-0.062850254,0.677253805
129,Cody Zeller,PF/C,CHA,62,25,1.485665985,-0.817004536,-1.574638097,-0.877279194,0.414935933,-0.821287027,-0.430520424,0.565652283,0.807997783
130,Mohamed Bamba,C,ORL,72,23,0.0335795,-1.059079953,-1.22831007,-1.113716034,0.616556892,-1.279679786,-1.014276931,2.241659048,0.807997783
131,Al-Farouq Aminu,SF/PF,POR,74,28,-1.418506985,-0.453891409,0.503330066,-0.975794544,0.535908509,-0.821287027,0.445114337,-0.062850254,0.677253805
132,Patty Mills,PG,SAS,79,28,-0.873974553,0.87752339,1.080543445,-0.424108583,-1.278680121,0.248296078,-0.13864217,-1.110354482,0.415765849
133,Marvin Williams,SF/PF,CHA,78,25,-0.510952932,0.998561099,0.272444715,-0.896982264,-0.189926943,-0.872219555,-1.014276931,-0.062850254,1.200229716
134,George Hill,PG/SG,CLE,62,27,-0.147931311,0.030259427,0.041559363,-0.601436213,-0.915762395,0.044565963,-0.13864217,-0.691352791,0.546509827
135,E'Twaun Moore,SG/SF,NOR,75,30,0.215090311,-0.695966827,0.272444715,-0.562030073,-1.03673497,-0.311961739,-0.13864217,-0.691352791,0.807997783
136,Andrew Wiggins,SG/SF,MIN,80,36.5,-0.329442121,-0.938042245,0.041559363,1.290058511,-0.512520477,-0.413826796,0.445114337,-0.062850254,-0.499441995
137,Bogdan Bogdanovic,SG/SF,SAC,62,27,-0.510952932,0.87752339,0.38788739,-0.463514723,-1.03673497,0.044565963,-0.430520424,-0.900853636,0.285021872
138,Trae Young,PG,ATL,72,28,-1.418506985,0.272334845,0.272444715,-0.227077882,-1.077059162,1.368811711,0.153236083,-0.900853636,-1.283905862
139,Brook Lopez,C,MIL,72,22,-0.147931311,-0.453891409,0.041559363,-0.424108583,-0.714141436,-0.719421969,-1.598033438,1.19415482,0.415765849
140,Patrick Beverley,PG/SG,LAC,67,24,-0.873974553,0.272334845,0.272444715,-1.153122174,-0.79478982,-0.006366566,0.445114337,-0.691352791,0.677253805
141,Mario Hezonja,SG/SF,NYK,76,25,-0.692463743,0.635447972,-0.073883312,-0.562030073,-0.552844669,-0.66848944,0.445114337,-0.481851945,0.285021872
142,Davis Bertans,PF/C,SAS,74,22,-0.329442121,0.756485681,0.734215417,-0.896982264,-0.996410778,-0.770354498,-1.014276931,0.146650592,1.200229716
143,Trevor Ariza,SG/SF,PHO,74,27.5,-1.055485364,0.514410263,0.618772742,-0.936388404,-0.512520477,-0.66848944,0.73699259,-0.900853636,1.200229716
144,Maurice Harkless,,POR,73,25,0.578111932,-1.180117662,-0.42021134,-1.015200684,-0.673817244,-0.974084613,-0.13864217,0.565652283,1.200229716
145,Dennis Smith Jr,PG/SG,DAL,71,31,-1.236996175,-0.817004536,0.503330066,0.56104492,-0.593168861,1.317879182,0.445114337,-0.900853636,-1.545393817
146,Caris LeVert,SF,BKN,70,27,-0.692463743,-0.938042245,0.041559363,-0.404405513,-0.512520477,0.401093664,0.445114337,-0.691352791,-0.368698017
147,Nerlens Noel,PF/C,OKC,62,18,1.304155175,-0.938042245,-1.574638097,-1.330449805,0.052018207,-1.07594967,0.153236083,0.356151438,0.807997783
148,Marcus Smart,PG/SG,BOS,70,27,-1.781528607,0.030259427,0.041559363,-0.739357703,-0.79478982,0.401093664,1.028870844,-0.481851945,-0.107210062
149,JaMychal Green,PF/C,MEM,64,26,0.215090311,-0.211815991,-0.766539367,-0.995497614,0.858502043,-0.872219555,-1.014276931,-0.272351099,0.677253805
150,Luke Kennard,SG,DET,73,25,-0.329442121,0.998561099,0.272444715,-0.739357703,-0.915762395,-0.362894268,-0.430520424,-0.900853636,0.546509827
151,Danny Green,SG/SF,TOR,71,25,-1.600017796,0.151297136,0.38788739,-1.231934455,-0.754465628,-0.617556911,-0.13864217,0.565652283,0.93874176
152,T.J. Warren,SF,PHO,66,25,0.396601121,-0.090778282,-1.22831007,0.127577379,-0.593168861,-1.025017142,-0.430520424,-0.481851945,1.069485738
153,Kyle O'Quinn,PF/C,IND,76,15,1.667176796,0.030259427,-1.574638097,-1.606292786,-0.10927856,-0.719421969,-1.598033438,0.984653974,0.93874176
154,Avery Bradley,PG/SG,LAC,70,27,-0.510952932,-0.090778282,0.38788739,-0.227077882,-0.835114011,-0.515691854,0.153236083,-0.900853636,0.285021872
155,Bojan Bogdanovic,SG/SF,IND,78,27,-0.147931311,0.998561099,0.618772742,-0.305890162,-0.875438203,-0.872219555,-1.306155184,-1.110354482,0.677253805
156,De'Aaron Fox,PG,SAC,76,30,-0.873974553,-0.3328537,-0.651096691,0.009358958,-0.915762395,0.961351481,0.153236083,-0.691352791,-0.891673928
157,Jakob Poeltl,C,SAS,78,20,2.75624166,-1.785306207,-1.574638097,-1.291043665,-0.068954368,-1.177814728,-1.306155184,0.775153129,0.807997783
158,Terrence Ross,SG/SF,ORL,72,24,-0.692463743,0.151297136,0.38788739,-0.778763844,-1.03673497,-0.923152084,0.153236083,-0.481851945,1.069485738
159,Jaylen Brown,SG/SF,BOS,75,29,0.0335795,-1.301155371,0.157002039,-0.010344112,-0.270575327,-0.719421969,-0.13864217,-0.481851945,0.023533916
160,Pascal Siakam,PF,TOR,78,22,0.759622743,-1.180117662,-1.112867394,-1.231934455,-0.270575327,-0.617556911,-0.430520424,0.146650592,1.069485738
